,COMMONS,SCORE
0,a,0.0
1,ability,0.0
2,able,0.0
3,about,0.0
4,above,0.0
5,abroad,0.0
6,absence,0.0
7,absolutely,0.0
8,absorb,0.0
9,abuse,0.0
10,academic,0.0
11,accident,0.0
12,accompany,0.0
13,accomplish,0.0
14,according,0.0
15,account,0.0
16,accurate,0.0
17,accuse,0.0
18,achieve,0.0
19,achievement,0.0
20,acid,0.0
21,acquire,0.0
22,across,0.0
23,active,0.0
24,activist,0.0
25,activity,0.0
26,actor,0.0
27,actress,0.0
28,actual,0.0
29,actually,0.0
30,ad,0.0
31,adapt,0.0
32,add,0.0
33,addition,0.0
34,additional,0.0
35,address,0.0
36,adequate,0.0
37,adjust,0.0
38,adjustment,0.0
39,administration,0.0
40,admire,0.0
41,adolescent,0.0
42,adult,0.0
43,advanced,0.0
44,advantage,0.0
45,adventure,0.0
46,advertising,0.0
47,advice,0.0
48,advise,0.0
49,adviser,0.0
50,advocate,0.0
51,affair,0.0
52,affect,0.0
53,afford,0.0
54,afraid,0.0
55,African,0.0
56,African-American,0.0
57,after,0.0
58,afternoon,0.0
59,again,0.0
60,against,0.0
61,age,0.0
62,agenda,0.0
63,aggressive,0.0
64,ago,0.0
65,agree,0.0
66,agricultural,0.0
67,ah,0.0
68,ahead,0.0
69,aid,0.0
70,aide,0.0
71,AIDS,0.0
72,aim,0.0
73,air,0.0
74,aircraft,0.0
75,airline,0.0
76,airport,0.0
77,album,0.0
78,alcohol,0.0
79,alive,0.0
80,all,0.0
81,alliance,0.0
82,allow,0.0
83,ally,0.0
84,almost,0.0
85,alone,0.0
86,along,0.0
87,already,0.0
88,also,0.0
89,alter,0.0
90,alternative,0.0
91,although,0.0
92,always,0.0
93,AM,0.0
94,amazing,0.0
95,American,0.0
96,among,0.0
97,amount,0.0
98,analysis,0.0
99,analyst,0.0
100,analyze,0.0
101,ancient,0.0
102,anger,0.0
103,angle,0.0
104,angry,0.0
105,animal,0.0
106,anniversary,0.0
107,announce,0.0
108,annual,0.0
109,another,0.0
110,anticipate,0.0
111,anxiety,0.0
112,any,0.0
113,anybody,0.0
114,anymore,0.0
115,anyone,0.0
116,anything,0.0
117,anyway,0.0
