,LEGALS,SCORE
0,a fortiori,1.0
1,a priori assumption,1.0
2,a.k.a.,1.0
3,ab initio,1.0
4,abandon,1.0
5,abandoned property,1.0
6,abandonment,1.0
7,abate,1.0
8,abatement,1.0
9,abduction,1.0
10,abet,1.0
11,abeyance,1.0
12,able-bodied,1.0
13,abortion,1.0
14,abrogate,1.0
15,abscond,1.0
16,absolute,1.0
17,abstention doctrine,1.0
18,abstract,1.0
19,abstract of judgment,1.0
20,abstract of title,1.0
21,abuse of discretion,1.0
22,abuse of process,1.0
23,abut,1.0
24,acceleration,1.0
25,acceleration clause,1.0
26,accept,1.0
27,acceptance,1.0
28,acceptance of service,1.0
29,access,1.0
30,accessory,1.0
31,accommodation,1.0
32,accomplice,1.0
33,accord and satisfaction,1.0
34,account stated,1.0
35,accounts payable,1.0
36,accounts receivable,1.0
37,accretion,1.0
38,accrue,1.0
39,accusation,1.0
40,accused,1.0
41,acknowledge,1.0
42,acknowledgment,1.0
43,acquit,1.0
44,acquittal,1.0
45,act,1.0
46,act of God,1.0
47,action,1.0
48,actionable,1.0
49,actual controversy,1.0
50,actual notice,1.0
51,ad hoc,1.0
52,ad litem,1.0
53,ad seriatim,1.0
54,ad valorem,1.0
55,addendum,1.0
56,adeem,1.0
57,ademption,1.0
58,adequate remedy,1.0
59,adhesion contract,1.0
60,adjourn,1.0
61,adjudication,1.0
62,adjusted basis,1.0
63,adjuster,1.0
64,administer,1.0
65,administrative hearing,1.0
66,administrative law,1.0
67,administrative law judge,1.0
68,Administrative Procedure Act,1.0
69,administrator,1.0
70,admiralty,1.0
71,admissible evidence,1.0
72,admission,1.0
73,admission against interest,1.0
74,admission of evidence,1.0
75,admission of guilt,1.0
76,admission to bail,1.0
77,admit,1.0
78,adopt,1.0
79,adoption,1.0
80,adultery,1.0
81,advance,1.0
82,advancement,1.0
83,adverse,1.0
84,adverse interest,1.0
85,adverse party,1.0
86,adverse possession,1.0
87,adverse witness,1.0
88,advisory opinion,1.0
89,affiant,1.0
90,affidavit,1.0
91,affirm,1.0
92,affirmative action,1.0
93,affirmative defense,1.0
94,affix,1.0
95,after-acquired property,1.0
96,after-acquired title,1.0
97,after-discovered evidence,1.0
98,age discrimination,1.0
99,age of consent,1.0
100,agency,1.0
101,agent,1.0
102,agent for acceptance of service,1.0
103,aggravated assault,1.0
104,agreed statement,1.0
105,agreement,1.0
106,aid and abet,1.0
107,aleatory,1.0
108,alias,1.0
109,alibi,1.0
110,alien,1.0
111,alienation,1.0
112,alienation of affections,1.0
113,alimony,1.0
114,aliquot:,1.0
115,all the estate I own,1.0
116,allegation,1.0
117,allege,1.0
118,alluvion,1.0
119,alter ego,1.0
120,alternative pleading,1.0
121,ambiguity,1.0
122,amend,1.0
123,amended complaint,1.0
124,amended pleading,1.0
125,American Bar Association,1.0
126,American Civil Liberties Union,1.0
127,American Depository Receipt,1.0
128,amicus curiae,1.0
129,amnesty,1.0
130,amortization,1.0
131,ancillary administration,1.0
132,ancillary jurisdiction,1.0
133,and,1.0
134,annuity,1.0
135,answer,1.0
136,antenuptial (prenuptial) agreement,1.0
137,anticipatory breach,1.0
138,antitrust laws,1.0
139,apparent authority,1.0
140,appeal,1.0
141,appear,1.0
142,appearance,1.0
143,appellant,1.0
144,appellate court,1.0
145,appellee,1.0
146,appraise,1.0
147,appraiser,1.0
148,appreciate,1.0
149,appreciation,1.0
150,approach,1.0
151,approach the bench,1.0
152,approach the witness,1.0
153,appurtenant,1.0
154,arbiter,1.0
155,arbitrary,1.0
156,arbitration,1.0
157,arbitrator,1.0
158,arguendo,1.0
159,argumentative,1.0
160,arm's length,1.0
161,arraign,1.0
162,arraignment,1.0
163,arrears,1.0
164,arrest,1.0
165,arrest warrant,1.0
166,arson,1.0
167,article,1.0
168,articles of impeachment,1.0
169,articles of incorporation,1.0
170,as is,1.0
171,assault,1.0
172,assault and battery,1.0
173,assess,1.0
174,asset,1.0
175,assign,1.0
176,assigned risk,1.0
177,assignee,1.0
178,assignment,1.0
179,assignment for benefit of creditors,1.0
180,Associate Justice,1.0
181,association,1.0
182,assume,1.0
183,assumption,1.0
184,assumption of risk,1.0
185,assured,1.0
186,at will  employment,1.0
187,attached,1.0
188,attachment,1.0
189,attempt,1.0
190,attest,1.0
191,attestation,1.0
192,attorney,1.0
193,attorney at law (or attorney-at-law),1.0
194,Attorney General,1.0
195,attorney of record,1.0
196,attorney's advertising,1.0
197,attorney's fee,1.0
198,attorney's work product,1.0
199,attorney-client privilege,1.0
200,attorney-in-fact,1.0
201,attractive nuisance doctrine,1.0
202,audit,1.0
203,auditor,1.0
204,authorities,1.0
205,authority,1.0
206,authorize,1.0
207,avulsion,1.0
208,award,1.0
209,Bachelor of Laws,1.0
210,back-to-back life sentences,1.0
211,bad debt,1.0
212,bad faith,1.0
213,bail,1.0
214,bail bond,1.0
215,bail bondsman,1.0
216,bailee,1.0
217,bailiff,1.0
218,bailment,1.0
219,bailor,1.0
220,bait and switch,1.0
221,balance due,1.0
222,balance sheet,1.0
223,bank,1.0
224,bankruptcy,1.0
225,bankruptcy court,1.0
226,bankruptcy proceedings,1.0
227,bar,1.0
228,bar association,1.0
229,bar examination,1.0
230,bargain,1.0
231,barratry,1.0
232,barrister,1.0
233,basis,1.0
234,battery,1.0
235,beach bum trust provision,1.0
236,bearer,1.0
237,bearer paper,1.0
238,belief,1.0
239,bench,1.0
240,bench warrant,1.0
241,beneficial interest,1.0
242,beneficial use,1.0
243,beneficiary,1.0
244,benefit,1.0
245,benefit of counsel,1.0
246,bequeath,1.0
247,bequest,1.0
248,best evidence rule,1.0
249,bestiality,1.0
250,beyond a reasonable doubt,1.0
251,BFP,1.0
252,bias,1.0
253,bid,1.0
254,bifurcate,1.0
255,bifurcation,1.0
256,bigamy,1.0
257,bilateral contract,1.0
258,bill,1.0
259,bill of attainder,1.0
260,bill of exchange,1.0
261,bill of lading,1.0
262,bill of particulars,1.0
263,Bill of Rights,1.0
264,bill of sale,1.0
265,binder,1.0
266,blackmail,1.0
267,blank endorsement,1.0
268,blue laws,1.0
269,blue ribbon jury,1.0
270,blue sky laws,1.0
271,board of directors,1.0
272,boiler room,1.0
273,boilerplate,1.0
274,bona fide,1.0
275,bona fide purchaser,1.0
276,bond,1.0
277,bondsman,1.0
278,booby trap,1.0
279,book account,1.0
280,book value,1.0
281,bottomry,1.0
282,boycott,1.0
283,breach,1.0
284,breach of contract,1.0
285,breach of promise,1.0
286,breach of the peace,1.0
287,breach of trust,1.0
288,breach of warranty,1.0
289,breaking and entering,1.0
290,bribery,1.0
291,brief,1.0
292,broker,1.0
293,brought to trial,1.0
294,bucket shop,1.0
295,building and loan,1.0
296,bulk sale,1.0
297,bulk sales acts,1.0
298,bulk transfer,1.0
299,burden,1.0
300,burden of proof,1.0
301,burglary,1.0
302,business,1.0
303,business invitee,1.0
304,but for  rule,1.0
305,buy-sell agreement,1.0
306,bylaws,1.0
307,C.I.F.,1.0
308,calendar,1.0
309,calendar call,1.0
310,call,1.0
311,calumny,1.0
312,cancel,1.0
313,cancellation,1.0
314,caning,1.0
315,canon law,1.0
316,cap,1.0
317,capital,1.0
318,capital account,1.0
319,capital assets,1.0
320,capital expenditure,1.0
321,capital gains,1.0
322,capital investment,1.0
323,capital offense,1.0
324,capital punishment,1.0
325,capital stock,1.0
326,capitalization,1.0
327,capitalized value,1.0
328,capricious,1.0
329,caption,1.0
330,care,1.0
331,careless,1.0
332,carnal knowledge,1.0
333,carrier,1.0
334,carryback,1.0
335,carrying for hire,1.0
336,carrying on business,1.0
337,carryover,1.0
338,cartel,1.0
339,case,1.0
340,case law,1.0
341,case of first impression,1.0
342,case system,1.0
343,cashier's check,1.0
344,casual,1.0
345,casualty,1.0
346,casualty loss,1.0
347,cause,1.0
348,cause of action,1.0
349,caveat,1.0
350,caveat emptor,1.0
351,cease and desist order,1.0
352,certificate of deposit (CD),1.0
353,certificate of incorporation,1.0
354,certificate of title,1.0
355,certified check,1.0
356,certiorari,1.0
357,cestui que trust,1.0
358,cestui que use,1.0
359,chain of title,1.0
360,challenge,1.0
361,challenge for cause,1.0
362,chambers,1.0
363,champerty,1.0
364,chancellor,1.0
365,chancery,1.0
366,change of circumstances,1.0
367,character witness,1.0
368,charge,1.0
369,charitable contribution,1.0
370,charitable remainder trust (Charitable Remainder Irrevocable Unitrust),1.0
371,charity,1.0
372,charter,1.0
373,chattel,1.0
374,chattel mortgage,1.0
375,check,1.0
376,Chief Justice,1.0
377,child,1.0
378,child custody,1.0
379,child support,1.0
380,churning,1.0
381,circuit courts,1.0
382,circumstantial evidence,1.0
383,citation,1.0
384,cite,1.0
385,citizen,1.0
386,civil,1.0
387,civil action,1.0
388,civil calendar,1.0
389,civil code,1.0
390,civil law,1.0
391,civil liability,1.0
392,civil liberties,1.0
393,civil penalties,1.0
394,civil procedure,1.0
395,civil rights,1.0
396,claim,1.0
397,claim against a governmental agency,1.0
398,claim against an estate,1.0
399,claim in bankruptcy,1.0
400,class,1.0
401,class action,1.0
402,clean hands doctrine,1.0
403,clear and convincing evidence,1.0
404,clear and present danger,1.0
405,clear title,1.0
406,clerk,1.0
407,close corporation,1.0
408,closed shop,1.0
409,closing,1.0
410,closing argument,1.0
411,cloud on title (cloud),1.0
412,co-trustee,1.0
413,code,1.0
414,Code of Professional Responsibility,1.0
415,codefendant,1.0
416,codicil,1.0
417,codify,1.0
418,cohabitation,1.0
419,coinsurance,1.0
420,collateral,1.0
421,collateral attack,1.0
422,collateral descendant,1.0
423,collateral estoppel,1.0
424,collusion,1.0
425,collusive action,1.0
426,color of law,1.0
427,color of title,1.0
428,comaker,1.0
429,comity,1.0
430,commencement of action,1.0
431,comment,1.0
432,commercial frustration,1.0
433,commercial law,1.0
434,commingling,1.0
435,commission,1.0
436,commitment,1.0
437,common area,1.0
438,common carrier,1.0
439,common counts,1.0
440,common law,1.0
441,common property,1.0
442,common stock,1.0
443,common-law marriage,1.0
444,community property,1.0
445,commutation,1.0
446,commute a sentence,1.0
447,company,1.0
448,comparative negligence,1.0
449,compensation,1.0
450,compensatory damages,1.0
451,competent,1.0
452,complainant,1.0
453,complaint,1.0
454,compos mentis,1.0
455,compound interest,1.0
456,compound question,1.0
457,compounding a felony,1.0
458,compromise,1.0
459,compromise verdict,1.0
460,concealed weapon,1.0
461,concealment,1.0
462,conclusion,1.0
463,conclusion of fact,1.0
464,conclusion of law,1.0
465,concurrent sentences,1.0
466,condemn,1.0
467,condemnation,1.0
468,condemnation action,1.0
469,condition,1.0
470,condition precedent,1.0
471,condition subsequent,1.0
472,conditional bequest,1.0
473,conditional sale,1.0
474,condominium,1.0
475,condone,1.0
476,confess,1.0
477,confession,1.0
478,confession and avoidance,1.0
479,confession of judgment,1.0
480,confidence game,1.0
481,confidential communication,1.0
482,confidential relation,1.0
